"filename", "language", "YAML", "C++", "JSON", "HTML", "Markdown", "Dart", "Properties", "XML", "Swift", "MS SQL", "comment", "blank", "total"
"d:\flutter_app\first_app\README-QURAN-INTEGRATION.md", "Markdown", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 27, 75
"d:\flutter_app\first_app\README-TROUBLESHOOTING.md", "Markdown", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 25, 106
"d:\flutter_app\first_app\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"d:\flutter_app\first_app\README_ADVANCED_SETUP.md", "Markdown", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 33, 125
"d:\flutter_app\first_app\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"d:\flutter_app\first_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"d:\flutter_app\first_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 12, 2, 56
"d:\flutter_app\first_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\flutter_app\first_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\flutter_app\first_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\flutter_app\first_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\flutter_app\first_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"d:\flutter_app\first_app\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\flutter_app\first_app\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\flutter_app\first_app\assets\images\mosque.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 1, 86
"d:\flutter_app\first_app\assets\quran.sqlite", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 226, 0, 0, 226
"d:\flutter_app\first_app\devtools_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\flutter_app\first_app\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
